feature,type,shap_original,shap_light,shap_heavy,survival_light_pct,survival_heavy_pct
mean_sentence_length,stylometric,0.5025610151469366,0.5083428879627605,0.5699211489774433,101.15048176073375,113.40337427701435
sentence_length_variance,stylometric,0.5604464472948689,0.5726981516767695,0.48936677461294487,102.18606156592418,87.31731229183318
ttr,stylometric,1.2608514553775974,1.0816633720407445,0.9753190797564932,85.78832719963907,77.3540035661383
hedging_frequency,stylometric,0.00985677961584978,0.010334346914402166,0.011697843584104204,104.84506418084516,118.67814884786485
passive_voice_rate,stylometric,0.017302476526108675,0.016124627918721744,0.019032305433320528,93.19260103829872,109.9975798528125
comma_density,stylometric,0.10328172532053287,0.10229876569112355,0.12766457984134177,99.04827342266144,123.60810147694296
mean_word_length,stylometric,0.40918788628491387,0.35504658541983003,0.380058583753637,86.76859636372868,92.88119137745089
flesch_kincaid,stylometric,0.025532931762023106,0.030273551309673005,0.029727541389220753,118.56668709975935,116.42823341358934
semantic_block_TOTAL (sum of 75 PCA components),semantic,2.005537264134343,2.0078410572379077,2.0733325989421205,100.1148716179332,103.38040763540937
semantic_PER-COMPONENT average,semantic,0.026740496855124574,0.026771214096505437,0.027644434652561608,100.11487161793322,103.38040763540937
