config,baseline,light,heavy
1: Stylometric only (XGBoost),0.6807815828229763,0.5418865457973702,0.44562229009019144
2: Semantic only (XGBoost),0.35393637399144484,0.27138783465953126,0.2379588887795019
3: Combined (XGBoost),0.6939655262605744,0.5256897579313056,0.4306003225986621
4: Combined (Full Ensemble - PRIMARY),0.7061128727127512,0.5300936846938471,0.4017388944569267
